objectid,event_month,event_dow,event_hour,event_type
1,January,Wednesday,9,Suicide-related
3,January,Wednesday,16,Suicide-related
4,January,Wednesday,0,Suicide-related
7,January,Wednesday,15,Suicide-related
11,January,Wednesday,19,Suicide-related
13,January,Wednesday,15,Suicide-related
14,January,Wednesday,1,Suicide-related
20,January,Wednesday,23,Suicide-related
22,January,Wednesday,16,Suicide-related
23,January,Wednesday,1,Suicide-related
26,January,Wednesday,3,Suicide-related
29,January,Wednesday,19,Suicide-related
30,January,Wednesday,4,Suicide-related
34,January,Wednesday,5,Suicide-related
37,January,Wednesday,5,Suicide-related
39,January,Wednesday,13,Suicide-related
40,January,Wednesday,2,Suicide-related
43,January,Wednesday,0,Suicide-related
44,January,Wednesday,16,Suicide-related
47,January,Wednesday,11,Suicide-related
49,January,Wednesday,4,Suicide-related
50,January,Wednesday,2,Suicide-related
51,January,Wednesday,1,Suicide-related
57,January,Thursday,19,Suicide-related
58,January,Thursday,14,Suicide-related
61,January,Thursday,19,Suicide-related
63,January,Thursday,19,Suicide-related
68,January,Thursday,12,Suicide-related
70,January,Thursday,21,Suicide-related
73,January,Thursday,16,Suicide-related
74,January,Thursday,20,Suicide-related
77,January,Thursday,0,Suicide-related
80,January,Thursday,7,Suicide-related
83,January,Thursday,23,Suicide-related
85,January,Thursday,13,Suicide-related
91,January,Thursday,14,Suicide-related
96,January,Thursday,12,Suicide-related
97,January,Thursday,10,Suicide-related
98,January,Thursday,22,Suicide-related
100,January,Thursday,16,Suicide-related
106,January,Friday,18,Suicide-related
108,January,Friday,11,Suicide-related
110,January,Friday,18,Suicide-related
111,January,Friday,11,Suicide-related
112,January,Friday,18,Suicide-related
115,January,Friday,11,Suicide-related
118,January,Friday,11,Suicide-related
119,January,Friday,11,Suicide-related
122,January,Friday,18,Suicide-related
125,January,Friday,23,Suicide-related
131,January,Friday,11,Suicide-related
133,January,Friday,20,Suicide-related
134,January,Friday,7,Suicide-related
143,January,Friday,19,Suicide-related
145,January,Friday,23,Suicide-related
146,January,Saturday,18,Suicide-related
147,January,Saturday,12,Suicide-related
148,January,Saturday,17,Suicide-related
149,January,Saturday,11,Suicide-related
153,January,Saturday,18,Suicide-related
157,January,Saturday,2,Suicide-related
161,January,Saturday,1,Suicide-related
164,January,Saturday,3,Suicide-related
166,January,Saturday,19,Suicide-related
167,January,Saturday,11,Suicide-related
173,January,Saturday,10,Suicide-related
181,January,Saturday,17,Suicide-related
183,January,Saturday,13,Suicide-related
185,January,Saturday,22,Suicide-related
189,January,Saturday,22,Suicide-related
201,January,Sunday,1,Suicide-related
202,January,Sunday,6,Suicide-related
206,January,Sunday,19,Suicide-related
208,January,Sunday,22,Suicide-related
214,January,Sunday,8,Suicide-related
217,January,Sunday,21,Suicide-related
218,January,Sunday,16,Suicide-related
223,January,Sunday,19,Suicide-related
232,January,Sunday,0,Suicide-related
241,January,Monday,22,Suicide-related
252,January,Monday,12,Suicide-related
258,January,Monday,10,Suicide-related
259,January,Monday,17,Suicide-related
262,January,Monday,1,Suicide-related
265,January,Monday,1,Suicide-related
268,January,Monday,18,Suicide-related
270,January,Monday,1,Suicide-related
272,January,Monday,20,Suicide-related
280,January,Monday,9,Suicide-related
281,January,Monday,16,Suicide-related
283,January,Monday,18,Suicide-related
284,January,Monday,1,Suicide-related
285,January,Monday,2,Suicide-related
286,January,Monday,10,Suicide-related
289,January,Monday,20,Suicide-related
291,January,Monday,12,Suicide-related
293,January,Monday,16,Suicide-related
294,January,Monday,9,Suicide-related
295,January,Monday,8,Suicide-related
296,January,Monday,15,Suicide-related
297,January,Monday,22,Suicide-related
303,January,Monday,14,Suicide-related
304,January,Monday,4,Suicide-related
307,January,Tuesday,16,Suicide-related
308,January,Tuesday,12,Suicide-related
309,January,Tuesday,15,Suicide-related
312,January,Tuesday,20,Suicide-related
313,January,Tuesday,16,Suicide-related
320,January,Tuesday,16,Suicide-related
321,January,Tuesday,16,Suicide-related
322,January,Tuesday,2,Suicide-related
323,January,Tuesday,5,Suicide-related
326,January,Tuesday,13,Suicide-related
329,January,Tuesday,22,Suicide-related
330,January,Tuesday,15,Suicide-related
338,January,Tuesday,14,Suicide-related
342,January,Tuesday,15,Suicide-related
343,January,Tuesday,10,Suicide-related
346,January,Tuesday,2,Suicide-related
363,January,Tuesday,16,Suicide-related
365,January,Tuesday,22,Suicide-related
366,January,Tuesday,16,Suicide-related
368,January,Wednesday,10,Suicide-related
371,January,Wednesday,6,Suicide-related
372,January,Wednesday,15,Suicide-related
373,January,Wednesday,10,Suicide-related
377,January,Wednesday,19,Suicide-related
381,January,Wednesday,18,Suicide-related
384,January,Wednesday,23,Suicide-related
385,January,Wednesday,17,Suicide-related
386,January,Wednesday,19,Suicide-related
389,January,Wednesday,11,Suicide-related
391,January,Wednesday,16,Suicide-related
392,January,Wednesday,20,Suicide-related
394,January,Wednesday,16,Suicide-related
399,January,Wednesday,21,Suicide-related
400,January,Wednesday,2,Suicide-related
401,January,Wednesday,23,Suicide-related
402,January,Wednesday,10,Suicide-related
409,January,Wednesday,16,Suicide-related
412,January,Wednesday,8,Suicide-related
415,January,Wednesday,16,Suicide-related
418,January,Wednesday,12,Suicide-related
423,January,Wednesday,9,Suicide-related
426,January,Wednesday,23,Suicide-related
427,January,Wednesday,14,Suicide-related
429,January,Thursday,2,Suicide-related
430,January,Thursday,17,Suicide-related
434,January,Thursday,10,Suicide-related
436,January,Thursday,5,Suicide-related
437,January,Thursday,9,Suicide-related
438,January,Thursday,13,Suicide-related
441,January,Thursday,21,Suicide-related
445,January,Thursday,18,Suicide-related
446,January,Thursday,19,Suicide-related
447,January,Thursday,15,Suicide-related
455,January,Thursday,20,Suicide-related
458,January,Thursday,20,Suicide-related
459,January,Thursday,16,Suicide-related
460,January,Thursday,10,Suicide-related
462,January,Thursday,17,Suicide-related
469,January,Thursday,13,Suicide-related
470,January,Thursday,9,Suicide-related
474,January,Thursday,20,Suicide-related
480,January,Thursday,22,Suicide-related
481,January,Thursday,10,Suicide-related
484,January,Thursday,20,Suicide-related
490,January,Thursday,11,Suicide-related
494,January,Friday,22,Suicide-related
500,January,Friday,20,Suicide-related
506,January,Friday,19,Suicide-related
508,January,Friday,18,Suicide-related
509,January,Friday,1,Suicide-related
513,January,Friday,17,Suicide-related
517,January,Friday,18,Suicide-related
519,January,Friday,0,Suicide-related
520,January,Friday,17,Suicide-related
521,January,Friday,6,Suicide-related
525,January,Friday,23,Suicide-related
535,January,Friday,16,Suicide-related
536,January,Friday,5,Suicide-related
546,January,Friday,6,Suicide-related
551,January,Saturday,13,Suicide-related
554,January,Saturday,16,Suicide-related
559,January,Saturday,5,Suicide-related
561,January,Saturday,12,Suicide-related
565,January,Saturday,20,Suicide-related
566,January,Saturday,15,Suicide-related
569,January,Saturday,2,Suicide-related
570,January,Saturday,16,Suicide-related
573,January,Saturday,17,Suicide-related
574,January,Saturday,21,Suicide-related
575,January,Saturday,5,Suicide-related
579,January,Saturday,5,Suicide-related
581,January,Saturday,3,Suicide-related
582,January,Saturday,9,Suicide-related
583,January,Saturday,22,Suicide-related
587,January,Saturday,18,Suicide-related
590,January,Saturday,17,Suicide-related
591,January,Saturday,12,Suicide-related
596,January,Saturday,10,Suicide-related
600,January,Sunday,0,Suicide-related
602,January,Sunday,1,Suicide-related
605,January,Sunday,19,Suicide-related
610,January,Sunday,20,Suicide-related
611,January,Sunday,21,Suicide-related
617,January,Sunday,18,Suicide-related
620,January,Sunday,23,Suicide-related
622,January,Sunday,16,Suicide-related
629,January,Sunday,21,Suicide-related
632,January,Sunday,20,Suicide-related
637,January,Sunday,18,Suicide-related
639,January,Sunday,11,Suicide-related
640,January,Sunday,3,Suicide-related
641,January,Sunday,12,Suicide-related
644,January,Monday,15,Suicide-related
645,January,Monday,0,Suicide-related
647,January,Monday,22,Suicide-related
648,January,Monday,6,Suicide-related
650,January,Monday,10,Suicide-related
653,January,Monday,10,Suicide-related
663,January,Monday,13,Suicide-related
666,January,Monday,12,Suicide-related
667,January,Monday,18,Suicide-related
669,January,Monday,22,Suicide-related
672,January,Monday,18,Suicide-related
673,January,Monday,19,Suicide-related
679,January,Monday,23,Suicide-related
680,January,Monday,16,Suicide-related
686,January,Monday,10,Suicide-related
688,January,Monday,18,Suicide-related
695,January,Monday,21,Suicide-related
696,January,Monday,13,Suicide-related
698,January,Monday,18,Suicide-related
700,January,Monday,11,Suicide-related
701,January,Monday,16,Suicide-related
703,January,Monday,18,Suicide-related
708,January,Tuesday,20,Suicide-related
710,January,Tuesday,14,Suicide-related
716,January,Tuesday,0,Suicide-related
720,January,Tuesday,18,Suicide-related
725,January,Tuesday,0,Suicide-related
726,January,Tuesday,22,Suicide-related
729,January,Tuesday,10,Suicide-related
730,January,Tuesday,15,Suicide-related
733,January,Tuesday,10,Suicide-related
734,January,Tuesday,20,Suicide-related
735,January,Tuesday,22,Suicide-related
737,January,Tuesday,13,Suicide-related
746,January,Tuesday,14,Suicide-related
747,January,Tuesday,0,Suicide-related
751,January,Tuesday,12,Suicide-related
755,January,Tuesday,1,Suicide-related
758,January,Tuesday,15,Suicide-related
761,January,Tuesday,22,Suicide-related
765,January,Tuesday,21,Suicide-related
767,January,Tuesday,12,Suicide-related
769,January,Tuesday,11,Suicide-related
770,January,Tuesday,23,Suicide-related
774,January,Wednesday,13,Suicide-related
778,January,Wednesday,18,Suicide-related
781,January,Wednesday,14,Suicide-related
784,January,Wednesday,11,Suicide-related
785,January,Wednesday,17,Suicide-related
787,January,Wednesday,3,Suicide-related
795,January,Wednesday,21,Suicide-related
797,January,Wednesday,16,Suicide-related
801,January,Wednesday,23,Suicide-related
804,January,Wednesday,17,Suicide-related
805,January,Wednesday,23,Suicide-related
809,January,Wednesday,4,Suicide-related
813,January,Wednesday,10,Suicide-related
817,January,Wednesday,1,Suicide-related
819,January,Wednesday,18,Suicide-related
823,January,Wednesday,12,Suicide-related
824,January,Wednesday,9,Suicide-related
825,January,Wednesday,16,Suicide-related
827,January,Wednesday,15,Suicide-related
828,January,Wednesday,18,Suicide-related
829,January,Wednesday,21,Suicide-related
832,January,Wednesday,19,Suicide-related
836,January,Thursday,16,Suicide-related
839,January,Thursday,10,Suicide-related
843,January,Thursday,11,Suicide-related
844,January,Thursday,19,Suicide-related
845,January,Thursday,20,Suicide-related
860,January,Thursday,20,Suicide-related
861,January,Thursday,19,Suicide-related
862,January,Thursday,17,Suicide-related
864,January,Thursday,13,Suicide-related
866,January,Thursday,6,Suicide-related
869,January,Thursday,12,Suicide-related
878,January,Thursday,0,Suicide-related
879,January,Thursday,18,Suicide-related
883,January,Thursday,8,Suicide-related
890,January,Thursday,15,Suicide-related
898,January,Thursday,21,Suicide-related
900,January,Thursday,22,Suicide-related
901,January,Thursday,19,Suicide-related
904,January,Friday,0,Suicide-related
913,January,Friday,17,Suicide-related
917,January,Friday,12,Suicide-related
920,January,Friday,7,Suicide-related
921,January,Friday,0,Suicide-related
924,January,Friday,22,Suicide-related
926,January,Friday,12,Suicide-related
933,January,Friday,13,Suicide-related
942,January,Friday,8,Suicide-related
945,January,Friday,23,Suicide-related
949,January,Friday,23,Suicide-related
950,January,Friday,11,Suicide-related
952,January,Friday,12,Suicide-related
955,January,Saturday,23,Suicide-related
957,January,Saturday,4,Suicide-related
962,January,Saturday,3,Suicide-related
968,January,Saturday,17,Suicide-related
977,January,Saturday,14,Suicide-related
981,January,Saturday,16,Suicide-related
982,January,Saturday,22,Suicide-related
983,January,Saturday,7,Suicide-related
984,January,Saturday,22,Suicide-related
986,January,Saturday,14,Suicide-related
989,January,Saturday,18,Suicide-related
993,January,Saturday,2,Suicide-related
994,January,Saturday,14,Suicide-related
998,January,Saturday,21,Suicide-related
999,January,Sunday,20,Suicide-related
1000,January,Sunday,11,Suicide-related
1012,January,Sunday,9,Suicide-related
1016,January,Sunday,7,Suicide-related
1021,January,Sunday,18,Suicide-related
1022,January,Sunday,19,Suicide-related
1025,January,Sunday,6,Suicide-related
1028,January,Sunday,9,Suicide-related
1030,January,Sunday,15,Suicide-related
1033,January,Sunday,16,Suicide-related
1038,January,Sunday,0,Suicide-related
1041,January,Sunday,20,Suicide-related
1045,January,Sunday,17,Suicide-related
1046,January,Sunday,22,Suicide-related
1050,January,Monday,3,Suicide-related
1054,January,Monday,22,Suicide-related
1055,January,Monday,17,Suicide-related
1061,January,Monday,5,Suicide-related
1063,January,Monday,22,Suicide-related
1064,January,Monday,15,Suicide-related
1069,January,Monday,13,Suicide-related
1072,January,Monday,17,Suicide-related
1075,January,Monday,22,Suicide-related
1081,January,Monday,12,Suicide-related
1087,January,Monday,18,Suicide-related
1089,January,Monday,11,Suicide-related
1091,January,Monday,14,Suicide-related
1092,January,Monday,3,Suicide-related
1094,January,Monday,3,Suicide-related
1097,January,Monday,14,Suicide-related
1101,January,Monday,14,Suicide-related
1104,January,Tuesday,17,Suicide-related
1107,January,Tuesday,23,Suicide-related
1110,January,Tuesday,22,Suicide-related
1111,January,Tuesday,23,Suicide-related
1117,January,Tuesday,17,Suicide-related
1118,January,Tuesday,12,Suicide-related
1124,January,Tuesday,20,Suicide-related
1126,January,Tuesday,22,Suicide-related
1128,January,Tuesday,20,Suicide-related
1130,January,Tuesday,14,Suicide-related
1131,January,Tuesday,8,Suicide-related
1139,January,Tuesday,16,Suicide-related
1143,January,Wednesday,20,Suicide-related
1144,January,Wednesday,13,Suicide-related
1151,January,Wednesday,1,Suicide-related
1153,January,Wednesday,13,Suicide-related
1154,January,Wednesday,21,Suicide-related
1157,January,Wednesday,9,Suicide-related
1159,January,Wednesday,15,Suicide-related
1161,January,Wednesday,21,Suicide-related
1163,January,Wednesday,9,Suicide-related
1166,January,Wednesday,22,Suicide-related
1167,January,Wednesday,21,Suicide-related
1171,January,Wednesday,16,Suicide-related
1188,January,Wednesday,23,Suicide-related
1194,January,Wednesday,9,Suicide-related
1199,January,Wednesday,12,Suicide-related
1200,January,Wednesday,23,Suicide-related
1203,January,Thursday,0,Suicide-related
1208,January,Thursday,17,Suicide-related
1212,January,Thursday,15,Suicide-related
1215,January,Thursday,13,Suicide-related
1216,January,Thursday,13,Suicide-related
1217,January,Thursday,18,Suicide-related
1226,January,Thursday,22,Suicide-related
1227,January,Thursday,23,Suicide-related
1229,January,Thursday,23,Suicide-related
1234,January,Thursday,19,Suicide-related
1238,January,Thursday,20,Suicide-related
1241,January,Thursday,18,Suicide-related
1242,January,Thursday,12,Suicide-related
1244,January,Thursday,11,Suicide-related
1246,January,Friday,21,Suicide-related
1248,January,Friday,15,Suicide-related
1249,January,Friday,10,Suicide-related
1250,January,Friday,18,Suicide-related
1255,January,Friday,12,Suicide-related
1257,January,Friday,18,Suicide-related
1259,January,Friday,14,Suicide-related
1262,January,Friday,19,Suicide-related
1266,January,Friday,19,Suicide-related
1273,January,Friday,11,Suicide-related
1276,January,Friday,22,Suicide-related
1277,January,Friday,10,Suicide-related
1282,January,Friday,23,Suicide-related
1283,January,Friday,15,Suicide-related
1287,January,Friday,18,Suicide-related
1288,January,Friday,10,Suicide-related
1290,January,Friday,15,Suicide-related
1304,January,Friday,21,Suicide-related
1306,January,Friday,8,Suicide-related
1311,January,Saturday,17,Suicide-related
1314,January,Saturday,18,Suicide-related
1317,January,Saturday,14,Suicide-related
1319,January,Saturday,3,Suicide-related
1322,January,Saturday,10,Suicide-related
1323,January,Saturday,23,Suicide-related
1326,January,Saturday,1,Suicide-related
1327,January,Saturday,19,Suicide-related
1328,January,Saturday,10,Suicide-related
1329,January,Saturday,18,Suicide-related
1333,January,Saturday,22,Suicide-related
1334,January,Saturday,15,Suicide-related
1343,January,Sunday,18,Suicide-related
1354,January,Sunday,15,Suicide-related
1355,January,Sunday,9,Suicide-related
1359,January,Sunday,13,Suicide-related
1360,January,Sunday,18,Suicide-related
1362,January,Sunday,14,Suicide-related
1369,January,Sunday,0,Suicide-related
1372,January,Sunday,19,Suicide-related
1374,January,Sunday,2,Suicide-related
1375,January,Sunday,20,Suicide-related
1386,January,Sunday,12,Suicide-related
1389,January,Monday,10,Suicide-related
1394,January,Monday,10,Suicide-related
1401,January,Monday,15,Suicide-related
1403,January,Monday,18,Suicide-related
1408,January,Monday,22,Suicide-related
1410,January,Monday,23,Suicide-related
1418,January,Monday,15,Suicide-related
1420,January,Monday,4,Suicide-related
1425,January,Monday,23,Suicide-related
1432,January,Monday,7,Suicide-related
1437,January,Tuesday,3,Suicide-related
1438,January,Tuesday,19,Suicide-related
1441,January,Tuesday,10,Suicide-related
1445,January,Tuesday,15,Suicide-related
1447,January,Tuesday,14,Suicide-related
1448,January,Tuesday,13,Suicide-related
1449,January,Tuesday,15,Suicide-related
1452,January,Tuesday,19,Suicide-related
1453,January,Tuesday,12,Suicide-related
1454,January,Tuesday,11,Suicide-related
1455,January,Tuesday,12,Suicide-related
1459,January,Tuesday,12,Suicide-related
1460,January,Tuesday,20,Suicide-related
1469,January,Tuesday,20,Suicide-related
1470,January,Tuesday,14,Suicide-related
1472,January,Tuesday,9,Suicide-related
1474,January,Tuesday,21,Suicide-related
1475,January,Tuesday,0,Suicide-related
1476,January,Tuesday,17,Suicide-related
1479,January,Tuesday,10,Suicide-related
1480,January,Tuesday,23,Suicide-related
1481,January,Tuesday,0,Suicide-related
1484,January,Tuesday,11,Suicide-related
1491,January,Tuesday,14,Suicide-related
1492,January,Tuesday,18,Suicide-related
1494,January,Tuesday,0,Suicide-related
1497,January,Wednesday,18,Suicide-related
1505,January,Wednesday,14,Suicide-related
1507,January,Wednesday,16,Suicide-related
1508,January,Wednesday,19,Suicide-related
1510,January,Wednesday,10,Suicide-related
1511,January,Wednesday,5,Suicide-related
1515,January,Wednesday,21,Suicide-related
1525,January,Wednesday,15,Suicide-related
1531,January,Wednesday,9,Suicide-related
1533,January,Wednesday,23,Suicide-related
1539,January,Wednesday,18,Suicide-related
1542,January,Wednesday,23,Suicide-related
1543,January,Wednesday,12,Suicide-related
1544,January,Wednesday,12,Suicide-related
1545,January,Wednesday,10,Suicide-related
1549,January,Wednesday,23,Suicide-related
1550,January,Wednesday,6,Suicide-related
1561,January,Thursday,20,Suicide-related
1562,January,Thursday,16,Suicide-related
1563,January,Thursday,5,Suicide-related
1565,January,Thursday,0,Suicide-related
1567,January,Thursday,11,Suicide-related
1570,January,Thursday,21,Suicide-related
1575,January,Thursday,14,Suicide-related
1576,January,Thursday,22,Suicide-related
1577,January,Thursday,10,Suicide-related
1581,January,Thursday,13,Suicide-related
1590,January,Thursday,17,Suicide-related
1594,January,Thursday,22,Suicide-related
1601,January,Thursday,14,Suicide-related
1602,January,Thursday,12,Suicide-related
1603,January,Thursday,14,Suicide-related
1604,January,Thursday,11,Suicide-related
1605,January,Thursday,6,Suicide-related
1607,January,Thursday,14,Suicide-related
1608,January,Thursday,22,Suicide-related
1613,January,Friday,17,Suicide-related
1614,January,Friday,22,Suicide-related
1624,January,Friday,22,Suicide-related
1625,January,Friday,8,Suicide-related
1630,January,Friday,15,Suicide-related
1637,January,Friday,23,Suicide-related
1648,January,Friday,17,Suicide-related
1649,January,Friday,21,Suicide-related
1651,January,Friday,15,Suicide-related
1654,January,Friday,14,Suicide-related
1658,January,Friday,8,Suicide-related
1660,January,Friday,16,Suicide-related
1663,January,Friday,22,Suicide-related
1669,January,Friday,7,Suicide-related
1675,January,Friday,18,Suicide-related
1683,February,Saturday,5,Suicide-related
1688,February,Saturday,19,Suicide-related
1689,February,Saturday,23,Suicide-related
1694,February,Saturday,11,Suicide-related
1695,February,Saturday,2,Suicide-related
1696,February,Saturday,12,Suicide-related
1697,February,Saturday,21,Suicide-related
1702,February,Saturday,1,Suicide-related
1710,February,Saturday,11,Suicide-related
1715,February,Saturday,10,Suicide-related
1718,February,Saturday,23,Suicide-related
1728,February,Saturday,7,Suicide-related
1730,February,Saturday,19,Suicide-related
1734,February,Saturday,18,Suicide-related
1738,February,Saturday,17,Suicide-related
1740,February,Saturday,22,Suicide-related
1743,February,Saturday,19,Suicide-related
1745,February,Sunday,5,Suicide-related
1746,February,Sunday,17,Suicide-related
1747,February,Sunday,20,Suicide-related
1748,February,Sunday,0,Suicide-related
1751,February,Sunday,21,Suicide-related
1757,February,Sunday,22,Suicide-related
1770,February,Sunday,14,Suicide-related
1775,February,Sunday,14,Suicide-related
1778,February,Sunday,15,Suicide-related
1780,February,Sunday,18,Suicide-related
1784,February,Sunday,23,Suicide-related
1788,February,Sunday,19,Suicide-related
1793,February,Sunday,12,Suicide-related
1796,February,Sunday,16,Suicide-related
1797,February,Sunday,2,Suicide-related
1800,February,Sunday,0,Suicide-related
1806,February,Monday,22,Suicide-related
1809,February,Monday,3,Suicide-related
1810,February,Monday,23,Suicide-related
1812,February,Monday,1,Suicide-related
1814,February,Monday,20,Suicide-related
1835,February,Monday,15,Suicide-related
1836,February,Monday,23,Suicide-related
1838,February,Monday,13,Suicide-related
1843,February,Monday,1,Suicide-related
1846,February,Monday,2,Suicide-related
1848,February,Monday,2,Suicide-related
1858,February,Monday,13,Suicide-related
1859,February,Monday,17,Suicide-related
1862,February,Monday,13,Suicide-related
1863,February,Monday,15,Suicide-related
1872,February,Tuesday,1,Suicide-related
1873,February,Tuesday,15,Suicide-related
1877,February,Tuesday,18,Suicide-related
1879,February,Tuesday,10,Suicide-related
1881,February,Tuesday,17,Suicide-related
1886,February,Tuesday,21,Suicide-related
1889,February,Tuesday,19,Suicide-related
1894,February,Tuesday,16,Suicide-related
1900,February,Tuesday,9,Suicide-related
1902,February,Tuesday,11,Suicide-related
1906,February,Tuesday,16,Suicide-related
1908,February,Tuesday,21,Suicide-related
1913,February,Tuesday,18,Suicide-related
1914,February,Tuesday,11,Suicide-related
1922,February,Tuesday,15,Suicide-related
1924,February,Tuesday,11,Suicide-related
1927,February,Tuesday,0,Suicide-related
1928,February,Tuesday,17,Suicide-related
1931,February,Wednesday,20,Suicide-related
1936,February,Wednesday,22,Suicide-related
1937,February,Wednesday,1,Suicide-related
1938,February,Wednesday,14,Suicide-related
1943,February,Wednesday,16,Suicide-related
1944,February,Wednesday,15,Suicide-related
1948,February,Wednesday,23,Suicide-related
1949,February,Wednesday,22,Suicide-related
1950,February,Wednesday,16,Suicide-related
1952,February,Wednesday,0,Suicide-related
1960,February,Wednesday,10,Suicide-related
1963,February,Wednesday,12,Suicide-related
1965,February,Wednesday,11,Suicide-related
1969,February,Wednesday,1,Suicide-related
1974,February,Wednesday,18,Suicide-related
1976,February,Wednesday,23,Suicide-related
1977,February,Wednesday,22,Suicide-related
1979,February,Wednesday,14,Suicide-related
1983,February,Wednesday,17,Suicide-related
1989,February,Wednesday,9,Suicide-related
1991,February,Thursday,18,Suicide-related
1992,February,Thursday,0,Suicide-related
1994,February,Thursday,1,Suicide-related
1997,February,Thursday,1,Suicide-related
1998,February,Thursday,13,Suicide-related
2000,February,Thursday,17,Suicide-related
2001,February,Thursday,23,Suicide-related
2002,February,Thursday,3,Suicide-related
2006,February,Thursday,11,Suicide-related
2007,February,Thursday,10,Suicide-related
2008,February,Thursday,23,Suicide-related
2010,February,Thursday,18,Suicide-related
2014,February,Thursday,12,Suicide-related
2015,February,Thursday,23,Suicide-related
2018,February,Thursday,20,Suicide-related
2021,February,Thursday,15,Suicide-related
2025,February,Thursday,16,Suicide-related
2028,February,Thursday,15,Suicide-related
2041,February,Thursday,11,Suicide-related
2043,February,Thursday,14,Suicide-related
2044,February,Thursday,23,Suicide-related
2045,February,Thursday,17,Suicide-related
2047,February,Thursday,16,Suicide-related
2048,February,Thursday,11,Suicide-related
2051,February,Thursday,20,Suicide-related
2054,February,Thursday,12,Suicide-related
2055,February,Friday,11,Suicide-related
2056,February,Friday,16,Suicide-related
2059,February,Friday,18,Suicide-related
2061,February,Friday,19,Suicide-related
2063,February,Friday,21,Suicide-related
2065,February,Friday,22,Suicide-related
2071,February,Friday,11,Suicide-related
2075,February,Friday,2,Suicide-related
2086,February,Friday,2,Suicide-related
2087,February,Friday,10,Suicide-related
2088,February,Friday,20,Suicide-related
2089,February,Friday,20,Suicide-related
2090,February,Friday,18,Suicide-related
2091,February,Friday,22,Suicide-related
2094,February,Friday,23,Suicide-related
2095,February,Friday,4,Suicide-related
2099,February,Friday,13,Suicide-related
2100,February,Friday,2,Suicide-related
2102,February,Friday,14,Suicide-related
2104,February,Friday,15,Suicide-related
2114,February,Saturday,18,Suicide-related
2117,February,Saturday,3,Suicide-related
2121,February,Saturday,8,Suicide-related
2123,February,Saturday,18,Suicide-related
2128,February,Saturday,22,Suicide-related
2130,February,Saturday,20,Suicide-related
2131,February,Saturday,18,Suicide-related
2136,February,Saturday,9,Suicide-related
2140,February,Saturday,12,Suicide-related
2147,February,Saturday,18,Suicide-related
2150,February,Saturday,11,Suicide-related
2151,February,Saturday,19,Suicide-related
2153,February,Saturday,16,Suicide-related
2159,February,Sunday,3,Suicide-related
2161,February,Sunday,1,Suicide-related
2164,February,Sunday,18,Suicide-related
2165,February,Sunday,18,Suicide-related
2174,February,Sunday,20,Suicide-related
2175,February,Sunday,12,Suicide-related
2178,February,Sunday,12,Suicide-related
2179,February,Sunday,2,Suicide-related
2182,February,Sunday,13,Suicide-related
2186,February,Sunday,13,Suicide-related
2187,February,Sunday,2,Suicide-related
2191,February,Sunday,18,Suicide-related
2193,February,Sunday,12,Suicide-related
2194,February,Sunday,0,Suicide-related
2199,February,Sunday,7,Suicide-related
2203,February,Sunday,17,Suicide-related
2205,February,Sunday,13,Suicide-related
2206,February,Sunday,13,Suicide-related
2210,February,Sunday,17,Suicide-related
2213,February,Sunday,21,Suicide-related
2214,February,Sunday,12,Suicide-related
2217,February,Sunday,19,Suicide-related
2219,February,Sunday,18,Suicide-related
2220,February,Sunday,12,Suicide-related
2222,February,Sunday,2,Suicide-related
2228,February,Monday,12,Suicide-related
2230,February,Monday,10,Suicide-related
2231,February,Monday,10,Suicide-related
2233,February,Monday,14,Suicide-related
2241,February,Monday,21,Suicide-related
2248,February,Monday,2,Suicide-related
2250,February,Monday,4,Suicide-related
2251,February,Monday,16,Suicide-related
2252,February,Monday,0,Suicide-related
2253,February,Monday,20,Suicide-related
2254,February,Monday,10,Suicide-related
2256,February,Monday,9,Suicide-related
2260,February,Monday,22,Suicide-related
2263,February,Monday,1,Suicide-related
2264,February,Monday,20,Suicide-related
2267,February,Monday,11,Suicide-related
2269,February,Monday,10,Suicide-related
2270,February,Monday,19,Suicide-related
2272,February,Monday,9,Suicide-related
2275,February,Monday,17,Suicide-related
2284,February,Tuesday,10,Suicide-related
2285,February,Tuesday,18,Suicide-related
2292,February,Tuesday,23,Suicide-related
2294,February,Tuesday,19,Suicide-related
2296,February,Tuesday,16,Suicide-related
2297,February,Tuesday,9,Suicide-related
2298,February,Tuesday,21,Suicide-related
2301,February,Tuesday,17,Suicide-related
2306,February,Tuesday,0,Suicide-related
2308,February,Tuesday,20,Suicide-related
2309,February,Tuesday,11,Suicide-related
2310,February,Tuesday,17,Suicide-related
2311,February,Tuesday,15,Suicide-related
2314,February,Tuesday,14,Suicide-related
2317,February,Tuesday,17,Suicide-related
2318,February,Tuesday,17,Suicide-related
2321,February,Tuesday,4,Suicide-related
2322,February,Tuesday,16,Suicide-related
2327,February,Tuesday,22,Suicide-related
2330,February,Tuesday,5,Suicide-related
2335,February,Tuesday,16,Suicide-related
2337,February,Tuesday,19,Suicide-related
2342,February,Wednesday,12,Suicide-related
2343,February,Wednesday,16,Suicide-related
2351,February,Wednesday,3,Suicide-related
2352,February,Wednesday,14,Suicide-related
2358,February,Wednesday,12,Suicide-related
2363,February,Wednesday,21,Suicide-related
2365,February,Wednesday,9,Suicide-related
2370,February,Wednesday,23,Suicide-related
2372,February,Wednesday,18,Suicide-related
2373,February,Wednesday,19,Suicide-related
