objectid,event_type,hood_158
866,Suicide-related,70
869,Suicide-related,113
878,Suicide-related,174
879,Suicide-related,74
883,Suicide-related,139
890,Suicide-related,160
898,Suicide-related,79
900,Suicide-related,98
901,Suicide-related,124
904,Suicide-related,92
913,Suicide-related,156
917,Suicide-related,27
920,Suicide-related,100
921,Suicide-related,124
924,Suicide-related,18
926,Suicide-related,16
933,Suicide-related,90
942,Suicide-related,163
945,Suicide-related,166
949,Suicide-related,151
950,Suicide-related,27
952,Suicide-related,85
955,Suicide-related,87
957,Suicide-related,66
962,Suicide-related,2
968,Suicide-related,70
977,Suicide-related,30
981,Suicide-related,141
982,Suicide-related,102
983,Suicide-related,95
984,Suicide-related,172
986,Suicide-related,169
989,Suicide-related,2
993,Suicide-related,19
994,Suicide-related,40
998,Suicide-related,95
999,Suicide-related,162
1000,Suicide-related,54
1012,Suicide-related,140
1016,Suicide-related,27
1021,Suicide-related,72
1022,Suicide-related,70
1025,Suicide-related,2
1028,Suicide-related,123
1030,Suicide-related,168
1033,Suicide-related,170
1038,Suicide-related,164
1041,Suicide-related,170
1045,Suicide-related,38
1046,Suicide-related,19
1050,Suicide-related,158
1054,Suicide-related,84
1055,Suicide-related,30
1061,Suicide-related,78
1063,Suicide-related,87
1064,Suicide-related,159
1069,Suicide-related,96
1072,Suicide-related,119
1075,Suicide-related,20
1081,Suicide-related,98
1087,Suicide-related,110
1089,Suicide-related,63
1091,Suicide-related,163
1092,Suicide-related,163
1097,Suicide-related,143
1101,Suicide-related,121
1104,Suicide-related,69
1107,Suicide-related,166
1110,Suicide-related,122
1111,Suicide-related,158
1117,Suicide-related,159
1118,Suicide-related,85
1124,Suicide-related,25
1126,Suicide-related,21
1128,Suicide-related,168
1130,Suicide-related,83
1131,Suicide-related,166
1139,Suicide-related,174
1143,Suicide-related,87
1144,Suicide-related,167
1151,Suicide-related,42
1153,Suicide-related,154
1154,Suicide-related,124
1157,Suicide-related,80
1159,Suicide-related,168
1161,Suicide-related,43
1163,Suicide-related,110
1166,Suicide-related,1
1167,Suicide-related,99
1171,Suicide-related,171
1188,Suicide-related,21
1194,Suicide-related,156
1199,Suicide-related,59
1200,Suicide-related,24
1203,Suicide-related,73
1208,Suicide-related,147
1212,Suicide-related,166
1215,Suicide-related,140
1216,Suicide-related,69
1217,Suicide-related,168
1226,Suicide-related,155
1227,Suicide-related,43
1229,Suicide-related,135
1234,Suicide-related,164
1238,Suicide-related,121
1241,Suicide-related,172
1242,Suicide-related,142
1244,Suicide-related,27
1246,Suicide-related,168
1248,Suicide-related,54
1249,Suicide-related,164
1250,Suicide-related,65
1255,Suicide-related,115
1257,Suicide-related,81
1259,Suicide-related,78
1262,Suicide-related,50
1266,Suicide-related,73
1273,Suicide-related,27
1276,Suicide-related,171
1277,Suicide-related,138
1282,Suicide-related,65
1283,Suicide-related,112
1287,Suicide-related,79
1288,Suicide-related,39
1290,Suicide-related,59
1304,Suicide-related,170
1306,Suicide-related,1
1311,Suicide-related,18
1314,Suicide-related,52
1317,Suicide-related,3
1319,Suicide-related,153
1322,Suicide-related,168
1323,Suicide-related,54
1326,Suicide-related,8
1327,Suicide-related,135
1328,Suicide-related,170
1329,Suicide-related,73
1333,Suicide-related,111
1334,Suicide-related,37
1343,Suicide-related,58
1354,Suicide-related,47
1355,Suicide-related,80
1359,Suicide-related,87
1360,Suicide-related,33
1362,Suicide-related,71
1369,Suicide-related,142
1372,Suicide-related,111
1374,Suicide-related,24
1375,Suicide-related,136
1386,Suicide-related,23
1389,Suicide-related,65
1394,Suicide-related,170
1401,Suicide-related,50
1403,Suicide-related,142
1408,Suicide-related,155
1410,Suicide-related,73
1418,Suicide-related,156
1420,Suicide-related,133
1425,Suicide-related,31
1432,Suicide-related,39
1437,Suicide-related,84
1438,Suicide-related,164
1441,Suicide-related,25
1445,Suicide-related,83
1447,Suicide-related,99
1448,Suicide-related,111
1449,Suicide-related,170
1452,Suicide-related,40
1453,Suicide-related,20
1454,Suicide-related,169
1455,Suicide-related,35
1459,Suicide-related,80
1460,Suicide-related,135
1469,Suicide-related,124
1470,Suicide-related,73
1472,Suicide-related,27
1474,Suicide-related,83
1475,Suicide-related,33
1476,Suicide-related,124
1479,Suicide-related,95
1480,Suicide-related,81
1481,Suicide-related,107
1484,Suicide-related,33
1491,Suicide-related,64
1492,Suicide-related,170
1494,Suicide-related,73
1497,Suicide-related,111
1505,Suicide-related,125
1507,Suicide-related,170
1508,Suicide-related,115
1510,Suicide-related,85
1511,Suicide-related,65
1515,Suicide-related,44
1525,Suicide-related,169
1531,Suicide-related,167
1533,Suicide-related,36
1539,Suicide-related,120
1542,Suicide-related,34
1543,Suicide-related,62
1544,Suicide-related,112
1545,Suicide-related,54
1549,Suicide-related,134
1550,Suicide-related,160
1561,Suicide-related,42
1562,Suicide-related,85
1563,Suicide-related,171
1565,Suicide-related,170
1567,Suicide-related,59
1570,Suicide-related,139
1575,Suicide-related,112
1576,Suicide-related,85
1577,Suicide-related,154
1581,Suicide-related,167
1590,Suicide-related,168
1594,Suicide-related,136
1601,Suicide-related,111
1602,Suicide-related,150
1603,Suicide-related,88
1604,Suicide-related,149
1605,Suicide-related,30
1607,Suicide-related,171
1608,Suicide-related,32
1613,Suicide-related,85
1614,Suicide-related,171
1624,Suicide-related,1
1625,Suicide-related,78
1630,Suicide-related,36
1637,Suicide-related,136
1648,Suicide-related,8
1649,Suicide-related,65
1651,Suicide-related,4
1654,Suicide-related,73
1658,Suicide-related,152
1660,Suicide-related,39
1663,Suicide-related,95
1669,Suicide-related,168
1675,Suicide-related,136
1683,Suicide-related,141
1688,Suicide-related,81
1689,Suicide-related,147
1694,Suicide-related,33
1695,Suicide-related,89
1696,Suicide-related,124
1697,Suicide-related,136
1702,Suicide-related,47
1710,Suicide-related,100
1715,Suicide-related,70
1718,Suicide-related,119
1728,Suicide-related,16
1730,Suicide-related,144
1734,Suicide-related,87
1738,Suicide-related,70
1740,Suicide-related,39
1743,Suicide-related,90
1745,Suicide-related,88
1746,Suicide-related,88
1747,Suicide-related,38
1748,Suicide-related,164
1751,Suicide-related,168
1757,Suicide-related,97
1770,Suicide-related,46
1775,Suicide-related,15
1778,Suicide-related,48
1780,Suicide-related,63
1784,Suicide-related,65
1788,Suicide-related,84
1793,Suicide-related,119
1796,Suicide-related,124
1797,Suicide-related,124
1800,Suicide-related,64
1806,Suicide-related,106
1809,Suicide-related,172
1810,Suicide-related,165
1812,Suicide-related,24
1814,Suicide-related,139
1835,Suicide-related,85
1836,Suicide-related,157
1838,Suicide-related,141
1843,Suicide-related,47
1846,Suicide-related,59
1848,Suicide-related,170
1858,Suicide-related,16
1859,Suicide-related,163
1862,Suicide-related,167
1863,Suicide-related,166
1872,Suicide-related,2
1873,Suicide-related,70
1877,Suicide-related,135
1879,Suicide-related,85
1881,Suicide-related,88
1886,Suicide-related,22
1889,Suicide-related,38
1894,Suicide-related,43
1900,Suicide-related,128
1902,Suicide-related,88
1906,Suicide-related,85
1908,Suicide-related,65
1913,Suicide-related,128
1914,Suicide-related,110
1922,Suicide-related,152
1924,Suicide-related,106
1927,Suicide-related,168
1928,Suicide-related,79
1931,Suicide-related,27
1936,Suicide-related,62
1937,Suicide-related,85
1938,Suicide-related,166
1943,Suicide-related,46
1944,Suicide-related,47
1948,Suicide-related,42
1949,Suicide-related,111
1950,Suicide-related,98
1952,Suicide-related,25
1960,Suicide-related,171
1963,Suicide-related,79
1965,Suicide-related,166
1969,Suicide-related,168
1974,Suicide-related,95
1976,Suicide-related,144
1977,Suicide-related,62
1979,Suicide-related,54
1983,Suicide-related,146
1989,Suicide-related,174
1991,Suicide-related,18
1992,Suicide-related,73
1994,Suicide-related,78
1997,Suicide-related,11
1998,Suicide-related,169
2000,Suicide-related,4
2001,Suicide-related,162
2002,Suicide-related,168
2006,Suicide-related,97
2007,Suicide-related,95
2008,Suicide-related,128
2010,Suicide-related,164
2014,Suicide-related,152
2015,Suicide-related,170
2018,Suicide-related,85
2021,Suicide-related,139
2025,Suicide-related,165
2028,Suicide-related,42
2041,Suicide-related,170
2043,Suicide-related,66
2044,Suicide-related,25
2045,Suicide-related,162
2047,Suicide-related,168
2048,Suicide-related,1
2051,Suicide-related,2
2054,Suicide-related,95
2055,Suicide-related,39
2056,Suicide-related,52
2059,Suicide-related,155
2061,Suicide-related,7
2063,Suicide-related,58
2065,Suicide-related,12
2071,Suicide-related,85
2075,Suicide-related,129
2086,Suicide-related,107
2087,Suicide-related,119
2088,Suicide-related,78
2089,Suicide-related,120
2090,Suicide-related,74
2091,Suicide-related,78
2094,Suicide-related,109
2095,Suicide-related,83
2099,Suicide-related,65
2100,Suicide-related,114
2102,Suicide-related,139
2104,Suicide-related,168
2114,Suicide-related,154
2117,Suicide-related,21
2121,Suicide-related,84
2123,Suicide-related,95
2128,Suicide-related,168
2130,Suicide-related,167
2131,Suicide-related,170
2136,Suicide-related,63
2140,Suicide-related,23
2147,Suicide-related,63
2150,Suicide-related,150
2151,Suicide-related,160
2153,Suicide-related,36
2159,Suicide-related,85
2161,Suicide-related,59
2164,Suicide-related,55
2165,Suicide-related,63
2174,Suicide-related,52
2175,Suicide-related,126
2178,Suicide-related,166
2179,Suicide-related,24
2182,Suicide-related,115
2186,Suicide-related,83
2187,Suicide-related,107
2191,Suicide-related,170
2193,Suicide-related,154
2194,Suicide-related,170
2199,Suicide-related,3
2203,Suicide-related,66
2205,Suicide-related,81
2206,Suicide-related,25
2210,Suicide-related,34
2213,Suicide-related,69
2214,Suicide-related,171
2217,Suicide-related,170
2219,Suicide-related,67
2220,Suicide-related,35
2222,Suicide-related,73
2228,Suicide-related,16
2230,Suicide-related,123
2231,Suicide-related,25
2233,Suicide-related,169
2241,Suicide-related,96
2248,Suicide-related,85
2250,Suicide-related,9
2251,Suicide-related,162
2252,Suicide-related,136
2253,Suicide-related,9
2254,Suicide-related,29
2256,Suicide-related,155
2260,Suicide-related,87
2263,Suicide-related,168
2264,Suicide-related,126
2267,Suicide-related,83
2269,Suicide-related,172
2270,Suicide-related,83
2272,Suicide-related,139
2275,Suicide-related,33
2284,Suicide-related,12
2285,Suicide-related,159
2292,Suicide-related,171
2294,Suicide-related,2
2296,Suicide-related,113
2297,Suicide-related,52
2298,Suicide-related,16
2301,Suicide-related,113
2306,Suicide-related,80
